language,category,exam_type,name,content,plan
Allemand,Bewegungsapparat,Radiographie conventionnelle,Röntgenaufnahmen der Knie (Beurteilung einer Gonarthrose),"Klinische Indikation: 
Schmerzhafte Beurteilung der Knie. Suche nach Gonarthrose.

 Bildgebungstechnik: 
Röntgenaufnahmen der Knie nach Standardansichten: belastetes Gesicht, Profil, Patellofemoralweg und Schuss.
Bilaterale Studie (rechts und links).

 Befunde: 

Knochenstrukturen:
Zufriedenstellende Ausrichtung der Knochenstrukturen. Keine Fraktur oder akute Knochenverletzung. Mineralisierung erhalten.

Gemeinsame Linien:
Die Höhe der femoro-tibialen und femoro-patellaren Räume wird eingehalten, ohne nennenswerte Einklemmung.

Gelenkflächen:
Fehlen sichtbarer osteoarthritischer Veränderungen (keine Osteophytose, keine Geoden, keine subchondrale Kondensation).

Weichteile:
Keine periartikuläre Weichteilanomalie.
Fehlen eines sichtbaren intraartikulären Ergusses.

 Beurteilung: 
Röntgenbild der Knie ohne Hinweise auf eine Gonarthrose.
Keine erkennbare Knochen- oder Gelenkanomalie.",free
Allemand,Thorax,Radiographie conventionnelle,Röntgenaufnahme der Brust,"Klinische Indikation: 
Bewertung muss geklärt werden.

 Bildgebungstechnik: 
Röntgenaufnahme des Brustkorbs in Frontalansicht (postero-anterior), im Stehen und mit tiefer Inspiration.

 Befunde: 

Lungenfelder: Normale Lungentransparenz. Fehlen einer Alveolitis, eines Knötchens oder eines verdächtigen interstitiellen Syndroms.

Pleura: Fehlen eines Pleuraergusses (freier Pleurasack) oder Ablösung der viszeralen Pleura (kein Pneumothorax).

Mediastinum: Herzsilhouette von normaler Größe und Morphologie. Mediastinum von physiologischer Breite. Hügel mit normaler Dichte.

Enthält: Integrität des knöchernen Gerüsts (Rippen, Schlüsselbeine, Wirbelsäule). Keine Anomalie der Weichteile oder Zwerchfellkuppeln.

 Beurteilung: 
Normales Röntgenbild des Brustkorbs: Keine fortschreitende pleuropulmonale, parenchymale oder mediastinale Anomalie.",free
Allemand,Zerebral,Scanner,Gehirnscanner (nativ),"Klinische Indikation: 
[Noch auszufüllen]
 Bildgebungstechnik: 
Untersuchung ohne Injektion von Kontrastmittel durchgeführt 
 Befunde: 
Zeltgeschoss:
- V4 Mittelwert.
- Fehlen einer Dichteanomalie des Hirnstamms und des Kleinhirnparenchyms.
- Die Basistanks sind kostenlos.
Obergeschoss:
- Fehlen von Dichteanomalien des Gehirnparenchyms.
- Das Ventrikelsystem weist eine normale Morphologie auf.
- Die Medianstrukturen sind vorhanden.
 Beurteilung: 
 CT Gehirn ohne Anomalie.",free
Allemand,Thorax,Scanner,Brustscan,"Klinische Indikation: 
[Muss je nach klinischer Anfrage spezifiziert werden]
 Bildgebungstechnik: 
Volumenerfassung des Thorax ohne Kontrastmittelinjektion.
 Befunde: 
Mediastinales und kardiales Fenster:
Luftröhre und proximale Bronchien: Keine Anomalie, freier Tracheobronchialbaum.
Herz und Perikard: Normale Herzgröße, ohne Perikarderguss.
Knoten: Keine signifikante Adenomegalie auf mediastinohilärer, parenchymaler, axillärer oder supraklavikulärer Ebene.
Große Gefäße: Normales Aussehen, ohne sichtbare Anomalie; Kein Anzeichen einer Lungenembolie (eingeschränkt durch das Fehlen von Kontrastmittel).
Pleuroparenchymales Fenster:
Lungenparenchym: Normale Dichte, ohne kleine Anomalien der Atemwege oder Anzeichen einer Einklemmung.
Knötchen und Läsionen: Keine verdächtigen oder sich entwickelnden Knötchen.
Pleuraerguss: Nicht vorhanden.
Knochenfenster:
Brustskelett: Keine verdächtige Läsion.
Weitere Elemente:
Oberbauch: Teilweise exploriert, nicht dediziert.
Zwerchfell: Keine subdiaphragmatischen Lymphknoten erkannt.
 Beurteilung: 
 CT normale Brust.
Keine verdächtigen Parenchym-, Pleura- oder Lymphknotenläsionen.",free
Allemand,Bauch und Becken,Scanner,Bauch-Becken-Scan,"Klinische Indikation: 
[Noch auszufüllen]
 Bildgebungstechnik: 
Spiralaufnahme mit Dünnschnittrekonstruktionen, durchgeführt ohne intravenöse Injektion von jodhaltigem Kontrastmittel.
 Befunde: 
Solide Organe:
Leber: Normale Größe und Morphologie. Homogene Spontandichte, ohne sichtbare fokale Läsion ohne Injektion.
Milz, Bauchspeicheldrüse, Nebennieren: Normales morphologisches Erscheinungsbild, ohne spontane Größen- oder Dichteanomalie.
Nieren und Harnwege: Keine dichte Konkrementbildung oder Erweiterung der Beckenhöhlen. Blase vorhanden, dünnwandig.
Gallengänge und Gefäße:
Gallengänge: Keine Erweiterung der intra- oder extrahepatischen Kanäle.
Gallenblase: Normales Volumen, ohne röntgendichte Lithiasis.
Gefäße: Die Aorta und große Gefäße haben ein normales Kaliber (sofern kein Kontrast vorhanden ist).
Andere Strukturen:
Knoten: Fehlen einer offensichtlichen Lymphknotenmasse (Adenomegalie).
Hohlräume: Kein Peritonealerguss oder Pneumoperitoneum.
Verdauungstrakt: Keine makroskopische Wanderweiterung oder -verdickung.
Brustbasen und Knochen: Keine basale pleuropulmonale Anomalie. Keine verdächtig aussehenden Knochenläsionen.
 Beurteilung: 
Abdomino-Becken-Scan ohne Injektion von normalem Kontrastmittel.",free
Anglais,Musculoskeletal,Radiographie conventionnelle,X-rays of the knees (assessment of gonarthrosis),"Clinical indication: 
Painful assessment of the knees. Search for gonarthrosis.

 Imaging technique: 
X-rays of the knees taken according to standard views: loaded face, profile, patellofemoral path and Schuss.
Bilateral study (right and left).

 Findings: 

Bone structures:
Satisfactory alignment of bony structures. Absence of fracture or acute bone injury. Mineralization preserved.

Joint lines:
Height of the femoro-tibial and femoro-patellar spaces respected, without significant pinching.

Articular surfaces:
Absence of visible osteoarthritic changes (no osteophytosis, no geodes, no subchondral condensation).

Soft parts:
No peri-articular soft tissue abnormality.
Absence of visible intra-articular effusion.

 Impression: 
Radiographic appearance of the knees without evidence in favor of gonarthrosis.
Absence of detectable bone or joint abnormality.",free
Anglais,Thorax,Radiographie conventionnelle,Chest x-ray,"Clinical indication: 
Assessment to be clarified.

 Imaging technique: 
Chest x-ray taken in frontal view (postero-anterior), in a standing position and with deep inspiration.

 Findings: 

Lung fields: Normal lung transparency. Absence of alveolitis, nodule or suspicious interstitial syndrome.

Pleura: Absence of pleural effusion (free pleural cul-de-sac) or detachment of the visceral pleura (no pneumothorax).

Mediastinum: Cardiac silhouette of normal size and morphology. Mediastinum of physiological width. Normal density hiles.

Containing: Integrity of the bony framework (ribs, clavicles, spine). Absence of abnormality of the soft parts or diaphragmatic cupolas.

 Impression: 
Normal chest x-ray: absence of progressive pleuropulmonary, parenchymal or mediastinal abnormality.",free
Anglais,Cerebral,Scanner,Brain scanner (native),"Clinical indication: 
[To be completed]
 Imaging technique: 
Examination carried out without injection of Contrast agent 
 Findings: 
Tentorial floor:
- V4 median.
- Absence of density abnormality of the brainstem and cerebellar parenchyma.
- The base tanks are free.
Upper tentorial level:
- Absence of density abnormalities of the brain parenchyma.
- The ventricular system is of normal morphology.
- The median structures are in place.
 Impression: 
 CT brain without abnormality.",free
Anglais,Thorax,Scanner,Chest scan,"Clinical indication: 
[To be specified according to clinical request]
 Imaging technique: 
Volume acquisition of the thorax carried out without injection of contrast product.
 Findings: 
Mediastinal and cardiac window:
Trachea and proximal bronchi: No abnormality, free tracheobronchial tree.
Heart and pericardium: Normal heart size, without pericardial effusion.
Nodes: Absence of significant adenomegaly at the mediastino-hilar, parenchymal, axillary or supraclavicular level.
Large vessels: Normal appearance, with no visible abnormality; no sign of pulmonary embolism (limited by the absence of contrast).
Pleuroparenchymal window:
Lung parenchyma: Normal density, without small airway abnormalities or signs of entrapment.
Nodules and lesions: No suspicious or evolving nodules.
Pleural effusion: Absent.
Bone window:
Thoracic skeleton: Absence of suspicious lesion.
Other elements:
Upper abdomen: Partial exploration, not dedicated.
Diaphragm: No subdiaphragmatic lymph nodes detected.
 Impression: 
 CT normal thoracic.
No suspicious parenchymal, pleural or lymph node lesions.",free
Anglais,Abdomen and pelvis,Scanner,Abdominopelvic scan,"Clinical indication: 
[To be completed]
 Imaging technique: 
Helical acquisition with thin-section reconstructions, carried out without intravenous injection of iodinated contrast product.
 Findings: 
Solid organs:
Liver: Normal size and morphology. Homogeneous spontaneous density, with no focal lesion visible without injection.
Spleen, pancreas, adrenals: Normal morphological appearance, without spontaneous size or density abnormality.
Kidneys and urinary tract: No dense calculus or dilation of the pyelocalicial cavities. Bladder in place, thin walled.
Bile ducts and vessels:
Bile ducts: No dilatation of the intra- or extra-hepatic ducts.
Gallbladder: Normal volume, without radiopaque lithiasis.
Vessels: The aorta and large vessels have a normal caliber (provided there is no contrast).
Other structures:
Nodes: Absence of obvious lymph node mass (adenomegaly).
Cavities: Absence of peritoneal effusion or pneumoperitoneum.
Digestive tract: No macroscopic wall dilatation or thickening.
Thoracic bases and bones: No basal pleuropulmonary anomaly. No suspicious-looking bone lesions.
 Impression: 
Abdominopelvic scan without injection of normal contrast material.",free
